pig_code,customer_group_name,period,pig_description,CentralStatus,brand,brand_quality,brand_quality_size,brand_quality_size_code,customer_groups_channel_lst,higher_channel_lst,calendar_month_abb,fiscal_year,fiscal_month,RF1,RF1_FY26,RF10,RF11,RF12,RF2,RF2_FY26,RF3,RF3_FY26,RF4,RF4_FY26,RF5,RF5_FY26,RF6,RF6_FY26,RF7,RF7_FY26,RF8,RF8_FY26,RF9,RF9_FY26
PIG001,CustomerGroup 06,2024-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jul,FY24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Aug,FY24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Sep,FY24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Oct,FY24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Nov,FY24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Dec,FY24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jan,FY24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Feb,FY24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Mar,FY24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Apr,FY24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,May,FY24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2024-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jun,FY24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jul,FY25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Aug,FY25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Sep,FY25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Oct,FY25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Nov,FY25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Dec,FY25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jan,FY25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Feb,FY25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Mar,FY25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Apr,FY25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,May,FY25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2025-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jun,FY25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jul,FY26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Aug,FY26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Sep,FY26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Oct,FY26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Nov,FY26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Dec,FY26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jan,FY26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Feb,FY26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Mar,FY26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Apr,FY26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,May,FY26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2026-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jun,FY26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2027-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jul,FY27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PIG001,CustomerGroup 06,2027-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Aug,FY27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PIG001,CustomerGroup 06,2027-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Sep,FY27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2027-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Oct,FY27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
PIG001,CustomerGroup 06,2027-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Nov,FY27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2027-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Dec,FY27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2027-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jan,FY27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
